instruction_zh,instruction_en,code_mixed_generated
什么是计算机？,What's a computer?,什么 computer?
计算机的基本组成部分有哪些？,What are the basic components of computers?,什么 是 computer? what's the principles?
计算机硬件与软件的区别是什么？,What's the difference between computer hardware and software?,计算机 techniques with 软件的 difference what ?
什么是冯·诺依曼结构？,What's von Neuman's structure?,什么 von nueman structure?
什么是嵌入式系统？,What's an embedded system?,什么 是 engineer system?
什么是计算机程序？,What's a computer program?,什么 是 process?
什么是操作系统？,What's the operating system?,什么 是 operating system?
什么是硬盘？,What's a hard drive?,什么 是 dyke?
什么是内存？,What's RAM?,什么 是 ical?
什么是外存？,What's a memory?,什么 是 存?
什么是二进制数制？,What's a binary system?,什么 是 binal system?
如何将十进制数转换为二进制数？,How to convert decimal numbers to binary numbers?,如何就 defencing numerals? 转换 binal numeries?
什么是十六进制数制？,What's a hexadecimal system?,什么 是 henthal system?
如何将二进制数转换为十六进制数？,How to convert binary numbers to hexadecimal numbers?,如何把 binal numerals? 转换 to 六 in numerics ?
什么是ASCII编码？,What's the ASCII code?,什么 ACSCII code?
什么是Unicode编码？,What's Unicode code?,什么 unicode code?
什么是字符编码？,What's the character code?,什么 是 chain encoder?
什么是浮点数表示？,What's a floating point sign?,什么 是 float qual?
什么是定点数表示？,What's a fixed number?,什么 是 minal numerals?
什么是补码？,What's a supplement?,什么 是 calculation?
什么是算法？,What's the algorithm?,什么 是 algory?
算法的基本特征有哪些？,What are the basic features of algorithms?,Algorithms? What are the basic 特征s ?
什么是递归算法？,What's a regression algorithm?,什么 是 regression algorithm?
什么是迭代算法？,What's an iterative algorithm?,什么 是 dieter algorithm?
什么是穷举法？,What's an exhaustive approach?,什么 是 exploration?
什么是贪心算法？,What's a greedy algorithm?,什么 是 graft algorithm?
什么是动态规划？,What is dynamic planning?,什么 是 minoral programming?
什么是二分查找？,What's a two-point search?,什么 是 big searning?
什么是冒泡排序？,What's a bubble order?,什么 是 urinal blob? sorting?
什么是快速排序？,What's fast sorting?,什么 快速 sorting?
CPU的主要功能是什么？,What is the main function of CPU?,CPU? What's the main function?
内存和外存的区别是什么？,What's the difference between RAM and RAM?,内存 and 存存的区别 是 management?
什么是缓存？,What's a cache?,什么 是 cake?
什么是RAM？,What's RAM?,什么 是 ram?
什么是ROM？,What's a rum?,什么 rom?
什么是SSD？,What's SSD?,什么 ssd?
什么是主板？,What's the main board?,什么 是 machine?
什么是GPU？,What's a GPU?,什么 是 gpu?
什么是电源供应器？,What's a power supply?,什么 是 superm?
什么是输入设备？,What's the input device?,什么 是 integration 器?
什么是操作系统的内核？,What's the kernel of the operating system?,什么 是 operating system?
什么是多任务处理？,What's multitasking?,什么 多任务处理?
什么是多线程？,What's a multiline?,什么 是 machine?
什么是虚拟内存？,What's virtual memory?,什么 虚拟 存?
什么是进程调度？,What's the process schedule?,什么 是 process schetening?
什么是死锁？,What's a dead lock?,什么 是 lock?
什么是文件系统？,What's the file system?,什么 是 system?
什么是数据库？,What's a database?,什么 是 database?
什么是事务？,What's the matter?,什么 是 service?
什么是索引？,What's the index?,什么 是 索引 ?
什么是视图？,What's the view?,什么 是 visual?
什么是数据冗余？,What's data redundancy?,什么 是 data redundant?
什么是数据规范化？,What is data standardization?,什么 是 data struting?
什么是关系模型？,What's a relationship model?,什么 是 relation model?
什么是物联网？,What's a network of things?,什么 是 物 network?
什么是智能家居？,What's a smart house?,什么 是 smart hub?
什么是智能城市？,What's a smart city?,什么 是 smart city?
什么是云计算？,What's cloud computing?,什么 是 cloud calculation?
什么是大数据？,What's big data?,什么 是 big data?
什么是人工智能？,What's an artificial intelligence?,什么 intelligence?
什么是机器学习？,What's machine learning?,什么 是 machine learning?
什么是神经网络？,What's a neural network?,什么 是 network?
什么是深度学习？,What's deep learning?,什么 深度 learning?
什么是自然语言处理（NLP）？,What is natural language processing (NLP)?,什么 是 language processing ( nlp )?
什么是物理安全？,What's physical security?,什么 物理 security?
什么是网络安全？,What's cyber security?,什么 security?
什么是加密？,What's encryption?,什么 是 encryption?
什么是数字签名？,What's a digital signature?,什么 是 data signure?
什么是防火墙？,What's a firewall?,什么 是 flaring wil?
什么是杀毒软件？,What's a poison-killer?,什么 是 sterilization software?
什么是云存储？,What's a cloud storage?,什么 是 cloud storage?
什么是VPN？,What's VPN?,什么 vpn?
什么是版本控制？,What's version control?,什么 protocol?
什么是持续集成（CI）？,What's continuous integration?,什么 是 continuous integration? ( ci ) inseparence?
什么是敏捷开发？,What is agile development?,什么 是 agile development?
什么是测试驱动开发（TDD）？,What is test-driven development (TDD)?,什么 是 test-driven development (TDD)?
什么是编译器？,What's a compiler?,什么 是 computing?
什么是解释器？,What's an interpreter?,什么 是 explorer?
什么是面向对象编程（OOP）？,What's object-oriented programming?,什么 对象 programming?
什么是并行计算？,What's a parallel calculation?,什么 是 calculation?
什么是分布式计算？,What's a distributed calculation?,什么 是 different 式 calculation?
什么是主从架构？,What is the main structure from?,什么 是 主 from structure?
什么是云计算的IaaS服务？,What's a cloud-based Iaas service?,什么 是 cloud-computing aias service?
什么是云计算的PaaS服务？,What's a cloud-based PaaS service?,什么 是 cloud computing paas service?
什么是云计算的SaaS服务？,What's a cloud-based SaaS service?,什么 是 cloud computing saas service?
什么是Docker？,What's Docker?,什么 docker?
什么是Kubernetes？,What's Kubernetes?,什么 kubernetes?
什么是微服务架构？,What's a micro-service architecture?,什么 是 micro-service structure?
什么是虚拟化技术？,What's virtual technology?,什么 虚拟化 technology?
什么是数据挖掘？,What's data mining?,什么 是 data mining?
什么是大数据分析的四个V特性？,What are the four V properties of big data analysis?,什么 是 big analysis?
什么是机器学习中的监督学习？,What is supervisory learning in machine learning?,什么 是 machine learning? 中的 supervisory l学习 ?
什么是机器学习中的无监督学习？,What is unsupervised learning in machine learning?,什么 是 machine learning? 中的 in unsupervised l学习?
什么是机器学习中的强化学习？,What is intensive learning in machine learning?,什么 是 machine learning? 中的 intensive l学习 lulting?
什么是卷积神经网络（CNN）？,What's a curly neural network (CNN)?,什么 是 curly network (CNN)?
什么是生成对抗网络（GAN）？,What's the generation of the resistance network?,什么 是 生成对抗 network ( gan )?
什么是物理层？,What's the physical layer?,什么 是 socter layer?
什么是数据链路层？,What's the data chain layer?,什么 是 data chain?
什么是网络层？,What's the network level?,什么 是 internet layer?
什么是传输层？,What's the transmission layer?,什么 是 transport layer?
什么是会话层？,What's the session layer?,什么 是 chains layer?
什么是表示层？,What's the expression layer?,什么 是 表示 layer?
什么是应用层？,What's the application layer?,什么 是 application layer?
什么是IP地址？,What's an IP address?,什么 IP 位置?
什么是子网掩码？,What's a subnet mask?,什么 是 networking?
什么是默认网关？,What's the default gateway?,什么 是 advant network?
什么是DNS？,What's DNS?,什么 dns?
什么是HTTP？,What's HTTP?,什么 HTTP?
什么是HTTPS？,What's HTTPS?,什么 HTTPS?
什么是蓝牙技术？,What's Bluetooth Technology?,什么 蓝牙 technology?
什么是NFC？,What's NFC?,什么 nfc?
什么是蜂窝网络？,What's a cellular network?,什么 是 hite network?
什么是区块链技术？,What's block chain technology?,什么 是 block chain technology?
什么是物联网的应用？,What are the applications of the Internet?,什么 是 物 network application?
什么是计算机病毒？,What's a computer virus?,什么 是 computer viral?
什么是防火墙的作用？,What's a firewall?,什么 是 filter working?
什么是加密的作用？,What's the role of encryption?,什么 是 encryption?
什么是物理安全的措施？,What are physical safety measures?,什么 是 physico-security process?
什么是局域网（LAN）？,What's the local area network (LAN)?,什么 是 network (lan )?
什么是广域网（WAN）？,What's a wide area network (WAN)?,什么 是 working network (wan )?
什么是交换机？,What's a switch?,什么 是 transport?
什么是路由器？,What's a router?,什么 是 roacher?
什么是网关？,What's a gateway?,什么 是 network?
什么是调制解调器？,What's a modem?,什么 是 calculation mediter?
什么是以太网？,What's Ethernet?,什么 ether network?
什么是光纤通信？,What's a fibre-optic communication?,什么 是 fibre commence?
什么是蓝牙？,What's Bluetooth?,什么 蓝牙?
什么是Wi-Fi？,What's Wi-Fi?,什么 wi-fi?
什么是NFC？,What's NFC?,什么 nfc?
什么是5G技术？,What's 5G technology?,什么 5g technology?
什么是边缘计算？,What's a margin calculation?,什么 是 margin calculation?
什么是雾计算？,What's fog computing?,什么 是 mort calculation?
什么是量子计算？,What's quantum computing?,什么 是 quantual calculation?
什么是区块链？,What's a block chain?,什么 是 block chain?
什么是云存储？,What's a cloud storage?,什么 是 cloud storage?
什么是人工智能的应用？,What's an AI application?,什么 是 intelligence application?
什么是物联网的应用？,What are the applications of the Internet?,什么 是 物 network application?
